Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100000 population",Rate,LGA_Code
2018,2 EASTERN,WODONGA,2394,5770.951182868612,5.770951182868612,27170
2018,2 EASTERN,WELLINGTON,2828,6416.7994948711475,6.416799494871148,26810
2018,2 EASTERN,WANGARATTA,1750,6025.98753197111,6.0259875319711105,26700
2018,2 EASTERN,TOWONG,181,3025.759682567315,3.025759682567315,26670
2018,2 EASTERN,STRATHBOGIE,440,4164.876442966277,4.164876442966277,26430
2018,2 EASTERN,SOUTH GIPPSLAND,1023,3479.162008148593,3.479162008148593,26170
2018,2 EASTERN,MURRINDINDI,574,4010.0798044034937,4.010079804403493,25620
2018,2 EASTERN,MOIRA,1568,5295.736084013418,5.295736084013418,24900
2018,2 EASTERN,MITCHELL,3014,6826.630737382266,6.826630737382264,24850
2018,2 EASTERN,MANSFIELD,333,3749.647152972611,3.749647152972611,24250
2018,2 EASTERN,LATROBE,9927,13240.23907210438,13.240239072104382,23810
2018,2 EASTERN,INDIGO,342,2091.0246876438378,2.0910246876438383,23350
2018,2 EASTERN,GREATER SHEPPARTON,6205,9360.725853031412,9.360725853031413,22830
2018,2 EASTERN,EAST GIPPSLAND,3195,6859.4776709170255,6.859477670917023,22110
2018,2 EASTERN,BENALLA,877,6274.515043831507,6.274515043831506,21010
2018,2 EASTERN,BAW BAW,3179,6140.413343876601,6.140413343876602,20830
2018,2 EASTERN,BASS COAST,1664,4750.933993570893,4.750933993570893,20740
2018,2 EASTERN,ALPINE,394,3119.812025227005,3.1198120252270045,20110
2018,4 WESTERN,YARRIAMBIACK,336,5087.504037820451,5.087504037820452,27630
2018,4 WESTERN,WEST WIMMERA,128,3339.391144960687,3.339391144960687,26890
2018,4 WESTERN,WARRNAMBOOL,2916,8354.336345264588,8.354336345264587,26730
2018,4 WESTERN,SWAN HILL,1783,8549.303224540548,8.549303224540548,26610
2018,4 WESTERN,SURF COAST,877,2726.9987614015618,2.7269987614015623,26490
2018,4 WESTERN,SOUTHERN GRAMPIANS,1117,7001.130638971379,7.00113063897138,26260
2018,4 WESTERN,QUEENSCLIFFE,101,3364.625348330325,3.364625348330325,26080
2018,4 WESTERN,PYRENEES,340,4601.66545517751,4.60166545517751,25990
2018,4 WESTERN,NORTHERN GRAMPIANS,769,6721.528557144102,6.721528557144102,25810
2018,4 WESTERN,MOYNE,428,2546.429036561199,2.5464290365611992,25490
2018,4 WESTERN,MOUNT ALEXANDER,696,3579.9757607751353,3.5799757607751355,25430
2018,4 WESTERN,MOORABOOL,1767,5133.769356501831,5.133769356501831,25150
2018,4 WESTERN,MILDURA,5569,10030.751783482589,10.030751783482586,24780
2018,4 WESTERN,MACEDON RANGES,1664,3367.34399264255,3.36734399264255,24130
2018,4 WESTERN,LODDON,390,5203.685346211904,5.2036853462119055,23940
2018,4 WESTERN,HORSHAM,1577,7917.407865274617,7.917407865274616,23190
2018,4 WESTERN,HINDMARSH,256,4552.8110025248525,4.552811002524853,22980
2018,4 WESTERN,HEPBURN,603,3803.10555806455,3.8031055580645496,22910
2018,4 WESTERN,GREATER GEELONG,16059,6401.7186857043835,6.401718685704383,22750
2018,4 WESTERN,GREATER BENDIGO,7755,6699.313648750227,6.699313648750228,22620
2018,4 WESTERN,GOLDEN PLAINS,507,2205.029690273786,2.2050296902737863,22490
2018,4 WESTERN,GLENELG,1035,5271.580400902922,5.271580400902923,22410
2018,4 WESTERN,GANNAWARRA,523,4960.742222714084,4.960742222714083,22250
2018,4 WESTERN,CORANGAMITE,541,3381.9067548003663,3.3819067548003665,21830
2018,4 WESTERN,COLAC-OTWAY,1272,5922.681860311925,5.922681860311926,21750
2018,4 WESTERN,CENTRAL GOLDFIELDS,972,7400.448553583031,7.400448553583031,21670
2018,4 WESTERN,CAMPASPE,2843,7572.183105338791,7.572183105338793,21370
2018,4 WESTERN,BULOKE,182,2992.978071562112,2.992978071562112,21270
2018,4 WESTERN,BALLARAT,8084,7524.491500156312,7.524491500156312,20570
2018,4 WESTERN,ARARAT,900,7648.344448598431,7.648344448598431,20260
