LGA Code,LGA Name,Population,Area of LGA (km2),Density
20110,Alpine (S),12639,4787.0,2.6403
20260,Ararat (RC),11757,4210.0,2.7926
20570,Ballarat (C),105438,739.0,142.6766
20740,Bass Coast (S),34390,865.0,39.7572
20830,Baw Baw (S),50687,4031.0,12.5743
21010,Benalla (RC),13975,2352.0,5.9418
21270,Buloke (S),6206,8001.0,0.7757
21370,Campaspe (S),37602,4518.0,8.3227
21670,Central Goldfields (S),13148,1532.0,8.5822
21750,Colac-Otway (S),21432,3439.0,6.232
21830,Corangamite (S),16212,4408.0,3.6779
22110,East Gippsland (S),46142,20937.0,2.2038
22250,Gannawarra (S),10570,3736.0,2.8292
22410,Glenelg (S),19695,6218.0,3.1674
22490,Golden Plains (S),22574,2703.0,8.3515
22620,Greater Bendigo (C),114111,2999.0,38.0497
22750,Greater Geelong (C),245751,1248.0,196.9159
22830,Greater Shepparton (C),65565,2421.0,27.0818
22910,Hepburn (S),15629,1473.0,10.6103
22980,Hindmarsh (S),5718,7524.0,0.76
23190,Horsham (RC),19889,4266.0,4.6622
23350,Indigo (S),16335,2040.0,8.0074
23810,Latrobe (C) (Vic.),74921,1426.0,52.5393
23940,Loddon (S),7507,6695.0,1.1213
24130,Macedon Ranges (S),48430,1748.0,27.7059
24250,Mansfield (S),8797,3843.0,2.2891
24780,Mildura (RC),55151,22107.0,2.4947
24850,Mitchell (S),42910,2862.0,14.993
24900,Moira (S),29655,4046.0,7.3295
25150,Moorabool (S),33448,2110.0,15.8521
25430,Mount Alexander (S),19298,1529.0,12.6213
25490,Moyne (S),16794,5482.0,3.0635
25620,Murrindindi (S),14234,3878.0,3.6704
25810,Northern Grampians (S),11518,5726.0,2.0115
25990,Pyrenees (S),7359,3434.0,2.143
26080,Queenscliffe (B),2960,9.0,328.8889
26170,South Gippsland (S),29324,3299.0,8.8888
26260,Southern Grampians (S),16125,6654.0,2.4234
26430,Strathbogie (S),10485,3302.0,3.1753
26490,Surf Coast (S),31350,1553.0,20.1867
26610,Swan Hill (RC),20850,6120.0,3.4069
26670,Towong (S),6040,6674.0,0.905
26700,Wangaratta (RC),28857,3644.0,7.919
26730,Warrnambool (C),34571,121.0,285.7107
26810,Wellington (S),43807,10817.0,4.0498
26890,West Wimmera (S),3895,9106.0,0.4277
27170,Wodonga (C),40819,433.0,94.2702
27630,Yarriambiack (S),6684,7326.0,0.9124
